Text,Label
sometimes i feel like the tv is sending me secret messages,Schizophrenia
people are watching me i just know it,Schizophrenia
i cant tell whats real anymore,Schizophrenia
my thoughts feel like theyre being controlled by someone else,Schizophrenia
i have trouble understanding what others are sayingit doesnt make sense,Schizophrenia
i think the government is monitoring my thoughts,Schizophrenia
my brain feels like its full of static,Schizophrenia
i feel disconnected from my body,Schizophrenia
i dont trust anyone not even my family,Schizophrenia
loud noises make me panicthey remind me of what happened,Post-Traumatic Stress Disorder (PTSD)
i keep having flashbacks to that day,Post-Traumatic Stress Disorder (PTSD)
i avoid going near that streetit brings back too much,Post-Traumatic Stress Disorder (PTSD)
i wake up sweating from nightmares,Post-Traumatic Stress Disorder (PTSD)
my heart races whenever i hear something similar to that sound,Post-Traumatic Stress Disorder (PTSD)
i try not to think about it but it keeps coming back,Post-Traumatic Stress Disorder (PTSD)
i feel numb most of the time,Post-Traumatic Stress Disorder (PTSD)
i get startled really easily now,Post-Traumatic Stress Disorder (PTSD)
i cant stop scanning for threats even when im safe,Post-Traumatic Stress Disorder (PTSD)
i dont feel like myself anymore,Post-Traumatic Stress Disorder (PTSD)
i skipped lunch again todayi just wasnt hungry,Eating Disorder
i feel so guilty whenever i eat something with sugar,Eating Disorder
sometimes i make myself throw up after big meals,Eating Disorder
i weigh myself five times a day,Eating Disorder
i dont eat in front of others anymore,Eating Disorder
ive memorized the calorie counts of everything i eat,Eating Disorder
even when im starving i force myself to wait longer,Eating Disorder
i avoid social gatherings where food is involved,Eating Disorder
i cant stop thinking about food all day long,Eating Disorder
i skipped lunch again todayi just wasnt hungry,Eating Disorder
ive been checking my email every two minutes just to make sure i didnt miss anything,Anxiety
i replay conversations in my head over and over,Anxiety
i feel a lump in my throat when i try to relax,Anxiety
i cant concentrate because im constantly worrying about whats next,Anxiety
i avoid making plans because i worry ill mess them up,Anxiety
even small mistakes make me feel panicked,Anxiety
im always on edge like somethings about to go wrong,Anxiety
i find it hard to breathe when im thinking about the future,Anxiety
i keep rehearsing worstcase scenarios in my mind,Anxiety
i get physically sick from worrying too much,Anxiety
i avoid people because i dont want to bring them down,Depression
i cry without really knowing why,Depression
i feel like im stuck in a dark place i cant get out of,Depression
nothing feels real or meaningful anymore,Depression
i feel disconnected from everyone and everything,Depression
i cant remember the last time i felt happy,Depression
i pretend to be okay even though im not,Depression
i feel guilty for not being strong enough to feel better,Depression
i stare at the wall for hours without realizing it,Depression
i feel like im failing at life,Depression
i lose track of time and end up rushing everything,ADHD( Attention deficit hyperactivity disorder)
even in quiet settings my brain feels loud and chaotic,ADHD( Attention deficit hyperactivity disorder)
i have ten browser tabs open and cant focus on any,ADHD( Attention deficit hyperactivity disorder)
i bounce my legs or tap fingers constantly i cant stop,ADHD( Attention deficit hyperactivity disorder)
reading books is hardi reread the same page often,ADHD( Attention deficit hyperactivity disorder)
i get overwhelmed by simple organizational tasks,ADHD( Attention deficit hyperactivity disorder)
my room turns into a mess no matter how much i clean,ADHD( Attention deficit hyperactivity disorder)
i struggle to remember appointments and plans,ADHD( Attention deficit hyperactivity disorder)
i speak without thinking and regret it later,ADHD( Attention deficit hyperactivity disorder)
i cant focus unless theres a looming deadline,ADHD( Attention deficit hyperactivity disorder)
sometimes i take on too many projects at once,Bipolar Disorder
i get irritated when people try to slow me down during highs,Bipolar Disorder
my emotions feel like a rollercoaster i cant control,Bipolar Disorder
ive made major life decisions in a moment of excitement,Bipolar Disorder
ive gone days without sleeping and still felt amazing,Bipolar Disorder
when im low i cant find any joy in the things i love,Bipolar Disorder
sometimes i isolate myself for days without telling anyone,Bipolar Disorder
i feel like im not myself half the time,Bipolar Disorder
people say i change too fastthey dont understand it,Bipolar Disorder
i have periods where i write or create nonstop,Bipolar Disorder
i dont like it when someone touches me unexpectedly,Autism Spectrum Disorder (ASD)
id rather stick to the same routine every day,Autism Spectrum Disorder (ASD)
i talk a lot about things i love and forget to ask questions,Autism Spectrum Disorder (ASD)
i find loud cafeterias or classrooms overwhelming,Autism Spectrum Disorder (ASD)
i sometimes mimic other peoples speech patterns,Autism Spectrum Disorder (ASD)
i struggle to filter out background noise,Autism Spectrum Disorder (ASD)
i take things very literallyit confuses me when people dont mean what they say,Autism Spectrum Disorder (ASD)
transitions between tasks are really difficult for me,Autism Spectrum Disorder (ASD)
i often feel like im watching a conversation instead of being in it,Autism Spectrum Disorder (ASD)
i zone out in social settings but dont mean to be rude,Autism Spectrum Disorder (ASD)
if someone moves my things i feel completely thrown off,Obsessive-Compulsive Disorder (OCD)
i reread messages dozens of times before sending them,Obsessive-Compulsive Disorder (OCD)
i check the stove every night even if i havent cooked,Obsessive-Compulsive Disorder (OCD)
i avoid using public restrooms due to contamination fears,Obsessive-Compulsive Disorder (OCD)
im haunted by violent or inappropriate thoughts i dont want,Obsessive-Compulsive Disorder (OCD)
i repeat certain phrases to undo bad luck,Obsessive-Compulsive Disorder (OCD)
i tap objects in a certain sequence to feel okay,Obsessive-Compulsive Disorder (OCD)
i ask for constant reassurance that i didnt do something wrong,Obsessive-Compulsive Disorder (OCD)
i cant stop thinking about whether i left the lights on,Obsessive-Compulsive Disorder (OCD)
i redo tasks until they feel just right,Obsessive-Compulsive Disorder (OCD)
im terrified of mirrorsthey show something thats not me,Schizophrenia
i have conversations with people who others say arent there,Schizophrenia
i believe im part of something much bigger like a secret mission,Schizophrenia
i find it hard to express myself in words,Schizophrenia
sometimes i burst out laughing or crying for no reason,Schizophrenia
i cant focus on anythingmy mind jumps too fast,Schizophrenia
i avoid crowded places because i think people are talking about me,Schizophrenia
i see things moving in the corners of my eyes,Schizophrenia
my thoughts feel jumbled and scattered,Schizophrenia
i dont sleep because im afraid of what i might see or hear,Schizophrenia
i avoid people and places that remind me of what happened,Post-Traumatic Stress Disorder (PTSD)
i cant talk about itits too painful,Post-Traumatic Stress Disorder (PTSD)
i keep seeing it in my mind like a movie on repeat,Post-Traumatic Stress Disorder (PTSD)
i feel guilty for surviving,Post-Traumatic Stress Disorder (PTSD)
i cant relaxim always on edge,Post-Traumatic Stress Disorder (PTSD)
i get angry without knowing why,Post-Traumatic Stress Disorder (PTSD)
i isolate myself because no one understands,Post-Traumatic Stress Disorder (PTSD)
i hate being in crowdsthey make me feel trapped,Post-Traumatic Stress Disorder (PTSD)
i feel like im back there even though i know im not,Post-Traumatic Stress Disorder (PTSD)
im afraid to sleep because the dreams are too real,Post-Traumatic Stress Disorder (PTSD)
i chew food and spit it out without swallowing,Eating Disorder
looking at myself in the mirror makes me angry,Eating Disorder
i feel worthless after overeating,Eating Disorder
ive stopped getting my period and i know its from not eating,Eating Disorder
i feel fat even when people tell me im too thin,Eating Disorder
i plan my meals days in advance to avoid anxiety,Eating Disorder
i sneak food at night and hide the wrappers,Eating Disorder
i panic if i miss my workout after a meal,Eating Disorder
food is either good or bad to metheres no in between,Eating Disorder
i lie to my family about what i eat,Eating Disorder
i often feel like im in danger even when im not,Anxiety
i cant sleep because my brain wont shut off,Anxiety
i get a sense of dread when i think about the next day,Anxiety
i avoid people because social situations stress me out,Anxiety
i fidget constantly to distract myself from nervous thoughts,Anxiety
i feel the need to be prepared for every little thing,Anxiety
i double and triple check everything i do,Anxiety
i have tension headaches almost every day,Anxiety
i cant sit still when something is uncertain,Anxiety
i catastrophize small problems all the time,Anxiety
i laugh in front of others but feel empty inside,Depression
its hard to believe things will ever get better,Depression
i feel like im invisible to the world,Depression
ive lost all motivation to do anything,Depression
i keep pushing people away even though i want them close,Depression
i constantly feel like im letting people down,Depression
i dont care about the future anymore,Depression
i feel hollow like something is missing inside me,Depression
im tired all the time even after a full nights sleep,Depression
i dont feel like i deserve kindness or love,Depression
i feel like i have to move to think clearly,ADHD( Attention deficit hyperactivity disorder)
i forget instructions moments after hearing them,ADHD( Attention deficit hyperactivity disorder)
i get frustrated by how easily i lose focus,ADHD( Attention deficit hyperactivity disorder)
i often feel like im underachieving despite trying hard,ADHD( Attention deficit hyperactivity disorder)
i cant follow long conversations without zoning out,ADHD( Attention deficit hyperactivity disorder)
its hard for me to finish what i start,ADHD( Attention deficit hyperactivity disorder)
i leave tasks halfway through when something new interests me,ADHD( Attention deficit hyperactivity disorder)
i procrastinate until i panic then work in a frenzy,ADHD( Attention deficit hyperactivity disorder)
i get bored very quicklyeven with things i like,ADHD( Attention deficit hyperactivity disorder)
i rely on alarms and sticky notes to function daily,ADHD( Attention deficit hyperactivity disorder)
i talk more and louder when im in a high phase,Bipolar Disorder
i feel exhausted after a highenergy week without knowing why,Bipolar Disorder
ive quit jobs impulsively during a high and regretted it later,Bipolar Disorder
when im down even brushing my teeth feels impossible,Bipolar Disorder
i go from planning my future in detail to feeling hopeless,Bipolar Disorder
i sometimes get frustrated when people cant keep up with my ideas,Bipolar Disorder
ive sent a lot of messages during highs that i later deleted,Bipolar Disorder
i spend money recklessly during some phases,Bipolar Disorder
i sometimes feel like im too intense for people,Bipolar Disorder
my relationships suffer because of my mood swings,Bipolar Disorder
i practice facial expressions in front of a mirror,Autism Spectrum Disorder (ASD)
crowded places make me shut down mentally,Autism Spectrum Disorder (ASD)
i get really interested in patterns or numbers,Autism Spectrum Disorder (ASD)
i avoid phone callstheyre too unpredictable,Autism Spectrum Disorder (ASD)
people often say i speak in a robotic way,Autism Spectrum Disorder (ASD)
i prefer texting because i have time to think,Autism Spectrum Disorder (ASD)
i can spend hours focusing on one specific hobby,Autism Spectrum Disorder (ASD)
i have trouble reading between the lines in conversations,Autism Spectrum Disorder (ASD)
when im overwhelmed i need to be alone to recover,Autism Spectrum Disorder (ASD)
ive been told i dont show emotion the normal way,Autism Spectrum Disorder (ASD)
i avoid specific numbers because they feel unlucky,Obsessive-Compulsive Disorder (OCD)
i spend hours aligning things perfectly,Obsessive-Compulsive Disorder (OCD)
i obsess over germs and carry sanitizer everywhere,Obsessive-Compulsive Disorder (OCD)
i feel compelled to confess even the smallest mistakes,Obsessive-Compulsive Disorder (OCD)
i count steps while walking and start over if i mess up,Obsessive-Compulsive Disorder (OCD)
i fear ill say something offensive even when i havent,Obsessive-Compulsive Disorder (OCD)
i worry i forgot something crucial even when i havent,Obsessive-Compulsive Disorder (OCD)
i organize everything obsessivelybooks clothes files,Obsessive-Compulsive Disorder (OCD)
i feel like my mind is stuck on a loop,Obsessive-Compulsive Disorder (OCD)
i triplecheck everything before i leave the house,Obsessive-Compulsive Disorder (OCD)
i feel like im losing control of my mind,Schizophrenia
i keep thinking people are plotting against me,Schizophrenia
i get confused easily when people talk,Schizophrenia
its hard to tell dreams from reality now,Schizophrenia
sometimes i feel like im not in my own life,Schizophrenia
i have trouble organizing my day or following through on tasks,Schizophrenia
my head feels noisy like theres a constant echo,Schizophrenia
i dont know what emotions im supposed to feel,Schizophrenia
i think my neighbors are spying on me,Schizophrenia
i feel like people are reading my thoughts,Schizophrenia
i flinch when someone touches me unexpectedly,Post-Traumatic Stress Disorder (PTSD)
i dont feel safe even in my own home,Post-Traumatic Stress Disorder (PTSD)
i avoid talking to people because i feel broken,Post-Traumatic Stress Disorder (PTSD)
i cant stop blaming myself,Post-Traumatic Stress Disorder (PTSD)
i keep hearing sounds from that day,Post-Traumatic Stress Disorder (PTSD)
i feel like i failed to protect the people i care about,Post-Traumatic Stress Disorder (PTSD)
certain smells make me feel like its all happening again,Post-Traumatic Stress Disorder (PTSD)
i pretend im okay but im not,Post-Traumatic Stress Disorder (PTSD)
i get migraines when i try to remember,Post-Traumatic Stress Disorder (PTSD)
i cant watch movies with violence anymore,Post-Traumatic Stress Disorder (PTSD)
ive fainted a few times because i skipped meals,Eating Disorder
i sometimes binge until i feel sick,Eating Disorder
i avoid carbs like theyre poison,Eating Disorder
i feel more in control when im hungry,Eating Disorder
i drink excessive water to feel full,Eating Disorder
i often purge in secret after eating,Eating Disorder
my relationship with food feels like a war,Eating Disorder
ive used laxatives to lose weight quickly,Eating Disorder
i envy people who can eat without guilt,Eating Disorder
i count almonds to control my portion,Eating Disorder
i wake up already anxious about things i need to do,Anxiety
i fear failure so much it stops me from starting anything,Anxiety
i dread changes in routine because they throw me off balance,Anxiety
i hate being late it stresses me out to an extreme,Anxiety
i get nervous even when i know ive done nothing wrong,Anxiety
i avoid emails or messages because im scared of bad news,Anxiety
i need constant reassurance that im doing okay,Anxiety
i feel uneasy in crowded places,Anxiety
i freeze when i feel overwhelmed by too many thoughts,Anxiety
i fear judgment more than i probably should,Anxiety
everything feels too loud too much too heavy,Depression
i havent felt like myself in weeks,Depression
i dread waking up each morning,Depression
i cancel plans because i cant find the energy to go,Depression
i feel like im fading into the background,Depression
i miss the version of me that used to be happy,Depression
i feel trapped in my own head,Depression
i dont have the energy to fake being okay anymore,Depression
i feel like my life is on pause and i cant hit play,Depression
i hate how much i hate myself,Depression
i space out while driving without realizing it,ADHD( Attention deficit hyperactivity disorder)
i feel too much energy but dont know what to do with it,ADHD( Attention deficit hyperactivity disorder)
i forget simple things like locking the door or turning off the stove,ADHD( Attention deficit hyperactivity disorder)
i jump from one hobby to another every few weeks,ADHD( Attention deficit hyperactivity disorder)
i talk really fast and sometimes people cant keep up,ADHD( Attention deficit hyperactivity disorder)
i avoid paperwork or emailsit overwhelms me,ADHD( Attention deficit hyperactivity disorder)
i get impatient when others talk slowly,ADHD( Attention deficit hyperactivity disorder)
i feel restless even when im exhausted,ADHD( Attention deficit hyperactivity disorder)
i fidget in my seat all the time even at restaurants,ADHD( Attention deficit hyperactivity disorder)
i find it hard to follow stepbystep instructions,ADHD( Attention deficit hyperactivity disorder)
i go through cycles of feeling amazing and then broken,Bipolar Disorder
i cant maintain consistencyit feels out of reach,Bipolar Disorder
ive had weeks of nonstop activity followed by silence,Bipolar Disorder
i feel like two different people depending on the day,Bipolar Disorder
i sometimes feel super social and then i shut off for days,Bipolar Disorder
i overshare when im manic and regret it later,Bipolar Disorder
i feel overly ambitious and then crash hard,Bipolar Disorder
ive started businesses or big projects out of nowhere,Bipolar Disorder
sometimes i act without thinking about consequences,Bipolar Disorder
im very impulsive when im feeling high,Bipolar Disorder
i get anxious when my routine is disrupted,Autism Spectrum Disorder (ASD)
im very sensitive to certain fabrics or textures,Autism Spectrum Disorder (ASD)
sometimes i flap my hands or tap objects repeatedly,Autism Spectrum Disorder (ASD)
i analyze conversations afterward wondering what went wrong,Autism Spectrum Disorder (ASD)
i dont like unstructured social events,Autism Spectrum Disorder (ASD)
people say i talk at them instead of with them,Autism Spectrum Disorder (ASD)
i often rehearse conversations in my head before they happen,Autism Spectrum Disorder (ASD)
i feel safer when things follow a predictable order,Autism Spectrum Disorder (ASD)
ive been called blunt but i never mean to hurt anyone,Autism Spectrum Disorder (ASD)
my interests are very specific but i love diving deep into them,Autism Spectrum Disorder (ASD)
i feel immense guilt over things i cant control,Obsessive-Compulsive Disorder (OCD)
i mentally replay events trying to figure out if i did something wrong,Obsessive-Compulsive Disorder (OCD)
i have cleaning rituals that take hours,Obsessive-Compulsive Disorder (OCD)
i avoid touching doorknobs unless i use my sleeve,Obsessive-Compulsive Disorder (OCD)
i get panic attacks if i break my rituals,Obsessive-Compulsive Disorder (OCD)
i have to start tasks over if im interrupted,Obsessive-Compulsive Disorder (OCD)
i feel intense dread if my routine is broken,Obsessive-Compulsive Disorder (OCD)
i often get stuck in analysis paralysis,Obsessive-Compulsive Disorder (OCD)
i cant stop thinking what if i did something terrible and forgot,Obsessive-Compulsive Disorder (OCD)
i feel like im constantly checking my mind for bad thoughts,Obsessive-Compulsive Disorder (OCD)
i hear music that no one else can hear,Schizophrenia
i worry that my food is being poisoned,Schizophrenia
i often talk to myself out loud to calm down,Schizophrenia
i forget what im doing midtask,Schizophrenia
i find it hard to trust my own memories,Schizophrenia
i think im being followed by unknown forces,Schizophrenia
my vision becomes distorted in certain lights,Schizophrenia
i feel like im being watched through my phone,Schizophrenia
i keep thinking i have powers others cant understand,Schizophrenia
my ideas jump around and are hard to finish,Schizophrenia
i cry suddenly without knowing why,Post-Traumatic Stress Disorder (PTSD)
i always sit near exits just in case,Post-Traumatic Stress Disorder (PTSD)
i cant trust people easily now,Post-Traumatic Stress Disorder (PTSD)
i hate surprisesthey make me feel threatened,Post-Traumatic Stress Disorder (PTSD)
i feel like im stuck in the past,Post-Traumatic Stress Disorder (PTSD)
i dont enjoy anything like i used to,Post-Traumatic Stress Disorder (PTSD)
i freeze up when someone raises their voice,Post-Traumatic Stress Disorder (PTSD)
i feel like im constantly in danger,Post-Traumatic Stress Disorder (PTSD)
i worry that something bad will happen again,Post-Traumatic Stress Disorder (PTSD)
im tired of pretending im fine,Post-Traumatic Stress Disorder (PTSD)
i think about food more than anything else,Eating Disorder
i get anxious if someone serves me more than i expected,Eating Disorder
my day feels ruined if i eat something unplanned,Eating Disorder
i cancel plans if i overeat earlier in the day,Eating Disorder
i often skip meals as punishment,Eating Disorder
i stare at others eating and feel jealous,Eating Disorder
i sometimes cry after eating something i shouldnt,Eating Disorder
i scroll through diet tips for hours every night,Eating Disorder
i use clothing size to determine if i had a good week,Eating Disorder
i feel more confident when im hungry,Eating Disorder
i always expect things to go badly even without reason,Anxiety
i constantly try to predict what people are thinking,Anxiety
i panic when i lose control over something,Anxiety
i cant enjoy the moment because im too focused on what might go wrong,Anxiety
i feel drained from constantly being on high alert,Anxiety
i talk too fast when im nervous and dont even realize it,Anxiety
i keep imagining situations where i embarrass myself,Anxiety
i avoid starting new things because im scared of messing up,Anxiety
i worry people secretly dislike me even with no evidence,Anxiety
i feel like my nerves are always buzzing,Anxiety
i scroll endlessly to distract myself from how i feel,Depression
i feel like nothing i do matters in the end,Depression
i stare at my ceiling every night feeling completely empty,Depression
i keep hoping tomorrow ill feel better but i never do,Depression
i feel like im carrying a weight no one else can see,Depression
im losing interest in talking to anyone,Depression
i wish i could just disappear for a while,Depression
it feels like im stuck in slow motion,Depression
i cant even recognize myself anymore,Depression
sometimes i just lie there thinking whats the point,Depression
i open apps and forget why i opened them,ADHD( Attention deficit hyperactivity disorder)
i need background noise to concentratebut then it distracts me,ADHD( Attention deficit hyperactivity disorder)
i make impulsive purchases and regret them later,ADHD( Attention deficit hyperactivity disorder)
i avoid boring tasks until they become urgent,ADHD( Attention deficit hyperactivity disorder)
i feel disorganized no matter how hard i try,ADHD( Attention deficit hyperactivity disorder)
i get frustrated by rules or structure,ADHD( Attention deficit hyperactivity disorder)
i forget names and dates easily,ADHD( Attention deficit hyperactivity disorder)
i lose my train of thought midsentence,ADHD( Attention deficit hyperactivity disorder)
i multitask badlyi just switch between things rapidly,ADHD( Attention deficit hyperactivity disorder)
i constantly feel like im forgetting something,ADHD( Attention deficit hyperactivity disorder)
during lows i question everything about myself,Bipolar Disorder
i stop responding to messages when im down,Bipolar Disorder
i sometimes think i can fix everythingthen nothing,Bipolar Disorder
my mind races with ideas at 3am when im up,Bipolar Disorder
i say things i regret when my moods shift,Bipolar Disorder
i feel emotionally drained even after nothing happens,Bipolar Disorder
i feel restless even during exhaustion,Bipolar Disorder
i lose control of my sleep patterns easily,Bipolar Disorder
i go from overly confident to deeply insecure,Bipolar Disorder
my highs feel amazing but the crashes are brutal,Bipolar Disorder
i need advance notice for changesi hate surprises,Autism Spectrum Disorder (ASD)
i notice tiny details others seem to miss,Autism Spectrum Disorder (ASD)
my face doesnt always match how i feel inside,Autism Spectrum Disorder (ASD)
sometimes i repeat words or phrases under my breath,Autism Spectrum Disorder (ASD)
i dont understand small talkit feels pointless,Autism Spectrum Disorder (ASD)
i struggle with facial recognition even for familiar people,Autism Spectrum Disorder (ASD)
i get very attached to certain objects or routines,Autism Spectrum Disorder (ASD)
i need to mentally prepare for social interactions,Autism Spectrum Disorder (ASD)
i enjoy solitude more than being with people,Autism Spectrum Disorder (ASD)
ive always felt different like im on a different wavelength,Autism Spectrum Disorder (ASD)
i avoid knives or sharp objects in case i lose control,Obsessive-Compulsive Disorder (OCD)
i ask others to confirm my memory of things,Obsessive-Compulsive Disorder (OCD)
i worry about being contaminated by touching certain people,Obsessive-Compulsive Disorder (OCD)
i fear ive lied even when i know i havent,Obsessive-Compulsive Disorder (OCD)
i cant focus on work until everything around me is in order,Obsessive-Compulsive Disorder (OCD)
i spend hours cleaning one item just to be sure its safe,Obsessive-Compulsive Disorder (OCD)
i sometimes lose sleep over needing to redo something correctly,Obsessive-Compulsive Disorder (OCD)
i dread using public places due to obsessive thoughts,Obsessive-Compulsive Disorder (OCD)
i feel controlled by my routines but i cant stop them,Obsessive-Compulsive Disorder (OCD)
i hate how much time i waste trying to fix my thoughts,Obsessive-Compulsive Disorder (OCD)
i cant always understand facial expressions,Schizophrenia
sometimes i believe im someone else entirely,Schizophrenia
i cover mirrors because they frighten me,Schizophrenia
i fear that my thoughts are not my own,Schizophrenia
i often speak in ways others say dont make sense,Schizophrenia
i hear people calling my name when no ones around,Schizophrenia
i cant tell if something actually happened or i imagined it,Schizophrenia
i get scared by things others dont see,Schizophrenia
i feel completely detached from the world,Schizophrenia
i think my phone is sending my thoughts to others,Schizophrenia
i feel disconnected from my body,Post-Traumatic Stress Disorder (PTSD)
i keep reliving the trauma in my head,Post-Traumatic Stress Disorder (PTSD)
i push people away to protect myself,Post-Traumatic Stress Disorder (PTSD)
i cant remember parts of the event and that scares me,Post-Traumatic Stress Disorder (PTSD)
i feel like i dont deserve to be happy,Post-Traumatic Stress Disorder (PTSD)
i wish i could forget everything,Post-Traumatic Stress Disorder (PTSD)
i hate when people say just move on,Post-Traumatic Stress Disorder (PTSD)
i zone out and lose track of time,Post-Traumatic Stress Disorder (PTSD)
im always bracing for the worst,Post-Traumatic Stress Disorder (PTSD)
i feel broken in ways no one can see,Post-Traumatic Stress Disorder (PTSD)
i think being thin will solve all my problems,Eating Disorder
i worry people are judging me if i eat too much,Eating Disorder
i refuse to eat what i didnt cook myself,Eating Disorder
i feel a sense of failure after every meal,Eating Disorder
i sometimes hide food in my room,Eating Disorder
i follow fitness influencers obsessively,Eating Disorder
i celebrate weight loss more than any achievement,Eating Disorder
i hate how i look even when i lose weight,Eating Disorder
i fear gaining even a single pound,Eating Disorder
i wish i could just eat like a normal person,Eating Disorder
I keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine.,Anxiety
I keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i keep imagining the worst possible outcome even when things seem fine. i,Anxiety
My heart races before every phone call even casual ones.,Anxiety
My heart beats before every phone call even casual ones.,Anxiety
I can't stop overthinking what I said in that conversation yesterday. I can't stop overthinking what I said yesterday.,Anxiety
I can't stop overthinking what I said in that conversation yesterday. I can't stop overthinking what I said in that conversation yesterday.,Anxiety
Every little noise makes me jump lately.,Anxiety
Every little sound makes me jump lately.,Anxiety
I feel like something bad is about to happen all the time.,Anxiety
I feel like something bad is about to happen all the time. i feel like something bad is about to happen all the time.,Anxiety
I constantly secondguess myself even with simple choices.,Anxiety
I secondguess myself even with simple choices. i constantly secondguess myself even with simple choices.,Anxiety
My mind won't stop spiraling especially at night.,Anxiety
My mind wont stop spiraling especially at night.,Anxiety
I worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about,Anxiety
I worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore. i worry about things that others seem to ignore.,Anxiety
I feel tense all the time like im bracing for something.,Anxiety
